index,addr_pct_cd,date,law_cat_cd,count,precinct_area,areaName,Borough,areaType,median_rent,Neighborhood,ZIP Codes,danger_ratio
30,24,2015-01,FELONY,95,Upper West Side North,All Upper West Side,MANHATTAN,submarket,3285.0,Upper West Side,"[10023, 10024, 10025]",0.0867579908675799
31,24,2015-01,MISDEMEANOR,214,Upper West Side North,All Upper West Side,MANHATTAN,submarket,3285.0,Upper West Side,"[10023, 10024, 10025]",0.13028919330289193
32,24,2015-01,VIOLATION,52,Upper West Side North,All Upper West Side,MANHATTAN,submarket,3285.0,Upper West Side,"[10023, 10024, 10025]",0.015829528158295282
33,25,2015-01,FELONY,127,East Harlem North,East Harlem,MANHATTAN,neighborhood,2106.0,East Harlem,"[10029, 10035]",0.18091168091168092
34,25,2015-01,MISDEMEANOR,358,East Harlem North,East Harlem,MANHATTAN,neighborhood,2106.0,East Harlem,"[10029, 10035]",0.33998100664767333
35,25,2015-01,VIOLATION,54,East Harlem North,East Harlem,MANHATTAN,neighborhood,2106.0,East Harlem,"[10029, 10035]",0.02564102564102564
36,26,2015-01,FELONY,51,Morningside Heights / Manhattanville,Morningside Heights,MANHATTAN,neighborhood,3000.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.051
37,26,2015-01,MISDEMEANOR,110,Morningside Heights / Manhattanville,Morningside Heights,MANHATTAN,neighborhood,3000.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.07333333333333333
38,26,2015-01,VIOLATION,21,Morningside Heights / Manhattanville,Morningside Heights,MANHATTAN,neighborhood,3000.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.007
39,28,2015-01,FELONY,93,West Harlem,West Harlem,MANHATTAN,neighborhood,2250.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.124
40,28,2015-01,MISDEMEANOR,177,West Harlem,West Harlem,MANHATTAN,neighborhood,2250.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.15733333333333333
41,28,2015-01,VIOLATION,39,West Harlem,West Harlem,MANHATTAN,neighborhood,2250.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.017333333333333333
42,30,2015-01,FELONY,79,Hamilton Heights / Sugar Hill,Hamilton Heights,MANHATTAN,neighborhood,2300.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.10304347826086957
43,30,2015-01,MISDEMEANOR,180,Hamilton Heights / Sugar Hill,Hamilton Heights,MANHATTAN,neighborhood,2300.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.1565217391304348
44,30,2015-01,VIOLATION,39,Hamilton Heights / Sugar Hill,Hamilton Heights,MANHATTAN,neighborhood,2300.0,Central Harlem,"[10026, 10027, 10030, 10037, 10039]",0.016956521739130436
45,32,2015-01,FELONY,126,East Harlem Central,East Harlem,MANHATTAN,neighborhood,2106.0,East Harlem,"[10029, 10035]",0.1794871794871795
46,32,2015-01,MISDEMEANOR,258,East Harlem Central,East Harlem,MANHATTAN,neighborhood,2106.0,East Harlem,"[10029, 10035]",0.245014245014245
47,32,2015-01,VIOLATION,75,East Harlem Central,East Harlem,MANHATTAN,neighborhood,2106.0,East Harlem,"[10029, 10035]",0.03561253561253561
48,33,2015-01,FELONY,107,Washington Heights South,Washington Heights,MANHATTAN,neighborhood,1945.0,Inwood and Washington Heights,"[10031, 10032, 10033, 10034, 10040]",0.16503856041131104
49,33,2015-01,MISDEMEANOR,167,Washington Heights South,Washington Heights,MANHATTAN,neighborhood,1945.0,Inwood and Washington Heights,"[10031, 10032, 10033, 10034, 10040]",0.17172236503856042
50,33,2015-01,VIOLATION,38,Washington Heights South,Washington Heights,MANHATTAN,neighborhood,1945.0,Inwood and Washington Heights,"[10031, 10032, 10033, 10034, 10040]",0.01953727506426735
51,34,2015-01,FELONY,113,Washington Heights North,Washington Heights,MANHATTAN,neighborhood,1945.0,Inwood and Washington Heights,"[10031, 10032, 10033, 10034, 10040]",0.17429305912596402
52,34,2015-01,MISDEMEANOR,166,Washington Heights North,Washington Heights,MANHATTAN,neighborhood,1945.0,Inwood and Washington Heights,"[10031, 10032, 10033, 10034, 10040]",0.17069408740359898
53,34,2015-01,VIOLATION,51,Washington Heights North,Washington Heights,MANHATTAN,neighborhood,1945.0,Inwood and Washington Heights,"[10031, 10032, 10033, 10034, 10040]",0.02622107969151671
54,40,2015-01,FELONY,247,South Bronx / Mott Haven,Mott Haven,BRONX,neighborhood,1699.0,Hunts Point and Mott Haven,"[10454, 10455, 10459, 10474]",0.4361389052383755
55,40,2015-01,MISDEMEANOR,524,South Bronx / Mott Haven,Mott Haven,BRONX,neighborhood,1699.0,Hunts Point and Mott Haven,"[10454, 10455, 10459, 10474]",0.616833431430253
56,40,2015-01,VIOLATION,94,South Bronx / Mott Haven,Mott Haven,BRONX,neighborhood,1699.0,Hunts Point and Mott Haven,"[10454, 10455, 10459, 10474]",0.05532666274278988
57,43,2015-01,FELONY,260,Soundview,Soundview,BRONX,neighborhood,1395.0,Southeast Bronx,"[10461, 10462, 10464, 10465, 10472, 10473]",0.5591397849462365
58,43,2015-01,MISDEMEANOR,498,Soundview,Soundview,BRONX,neighborhood,1395.0,Southeast Bronx,"[10461, 10462, 10464, 10465, 10472, 10473]",0.7139784946236559
59,43,2015-01,VIOLATION,94,Soundview,Soundview,BRONX,neighborhood,1395.0,Southeast Bronx,"[10461, 10462, 10464, 10465, 10472, 10473]",0.06738351254480286
60,44,2015-01,FELONY,215,Highbridge / Grand Concourse,Highbridge,BRONX,neighborhood,1250.0,High Bridge and Morrisania,"[10451, 10452, 10456]",0.516
61,44,2015-01,MISDEMEANOR,513,Highbridge / Grand Concourse,Highbridge,BRONX,neighborhood,1250.0,High Bridge and Morrisania,"[10451, 10452, 10456]",0.8208
62,44,2015-01,VIOLATION,95,Highbridge / Grand Concourse,Highbridge,BRONX,neighborhood,1250.0,High Bridge and Morrisania,"[10451, 10452, 10456]",0.076
63,46,2015-01,FELONY,177,University Heights / Fordham,University Heights,BRONX,neighborhood,1300.0,High Bridge and Morrisania,"[10451, 10452, 10456]",0.4084615384615385
64,46,2015-01,MISDEMEANOR,346,University Heights / Fordham,University Heights,BRONX,neighborhood,1300.0,High Bridge and Morrisania,"[10451, 10452, 10456]",0.5323076923076923
65,46,2015-01,VIOLATION,79,University Heights / Fordham,University Heights,BRONX,neighborhood,1300.0,High Bridge and Morrisania,"[10451, 10452, 10456]",0.06076923076923077
66,47,2015-01,FELONY,198,Woodlawn / Wakefield,Wakefield,BRONX,neighborhood,1200.0,Northeast Bronx,"[10466, 10469, 10470, 10475]",0.495
67,47,2015-01,MISDEMEANOR,311,Woodlawn / Wakefield,Wakefield,BRONX,neighborhood,1200.0,Northeast Bronx,"[10466, 10469, 10470, 10475]",0.5183333333333333
68,47,2015-01,VIOLATION,59,Woodlawn / Wakefield,Wakefield,BRONX,neighborhood,1200.0,Northeast Bronx,"[10466, 10469, 10470, 10475]",0.049166666666666664
69,48,2015-01,FELONY,151,Belmont / Tremont,Belmont,BRONX,neighborhood,1450.0,Bronx Park and Fordham,"[10458, 10467, 10468]",0.3124137931034483
70,48,2015-01,MISDEMEANOR,317,Belmont / Tremont,Belmont,BRONX,neighborhood,1450.0,Bronx Park and Fordham,"[10458, 10467, 10468]",0.43724137931034485
71,48,2015-01,VIOLATION,57,Belmont / Tremont,Belmont,BRONX,neighborhood,1450.0,Bronx Park and Fordham,"[10458, 10467, 10468]",0.039310344827586205
72,50,2015-01,FELONY,83,Riverdale / Kingsbridge,Riverdale,BRONX,neighborhood,2100.0,Kingsbridge and Riverdale,"[10463, 10471]",0.11857142857142858
73,50,2015-01,MISDEMEANOR,153,Riverdale / Kingsbridge,Riverdale,BRONX,neighborhood,2100.0,Kingsbridge and Riverdale,"[10463, 10471]",0.1457142857142857
74,50,2015-01,VIOLATION,36,Riverdale / Kingsbridge,Riverdale,BRONX,neighborhood,2100.0,Kingsbridge and Riverdale,"[10463, 10471]",0.017142857142857144
75,52,2015-01,FELONY,216,Norwood / Bedford Park,Bedford Park,BRONX,neighborhood,1363.0,Bronx Park and Fordham,"[10458, 10467, 10468]",0.47542186353631694
76,52,2015-01,MISDEMEANOR,438,Norwood / Bedford Park,Bedford Park,BRONX,neighborhood,1363.0,Bronx Park and Fordham,"[10458, 10467, 10468]",0.6426999266324285
77,52,2015-01,VIOLATION,72,Norwood / Bedford Park,Bedford Park,BRONX,neighborhood,1363.0,Bronx Park and Fordham,"[10458, 10467, 10468]",0.05282465150403522
78,60,2015-01,FELONY,155,Coney Island / Brighton Beach,Coney Island,BROOKLYN,neighborhood,1999.0,Southern Brooklyn,"[11223, 11224, 11229, 11235]",0.23261630815407705
79,60,2015-01,MISDEMEANOR,203,Coney Island / Brighton Beach,Coney Island,BROOKLYN,neighborhood,1999.0,Southern Brooklyn,"[11223, 11224, 11229, 11235]",0.2031015507753877
80,60,2015-01,VIOLATION,59,Coney Island / Brighton Beach,Coney Island,BROOKLYN,neighborhood,1999.0,Southern Brooklyn,"[11223, 11224, 11229, 11235]",0.029514757378689346
81,61,2015-01,FELONY,142,Sheepshead Bay / Madison,Sheepshead Bay,BROOKLYN,neighborhood,1595.0,Southern Brooklyn,"[11223, 11224, 11229, 11235]",0.2670846394984326
82,61,2015-01,MISDEMEANOR,197,Sheepshead Bay / Madison,Sheepshead Bay,BROOKLYN,neighborhood,1595.0,Southern Brooklyn,"[11223, 11224, 11229, 11235]",0.24702194357366772
83,61,2015-01,VIOLATION,59,Sheepshead Bay / Madison,Sheepshead Bay,BROOKLYN,neighborhood,1595.0,Southern Brooklyn,"[11223, 11224, 11229, 11235]",0.03699059561128527
84,62,2015-01,FELONY,136,Bensonhurst,Bensonhurst,BROOKLYN,neighborhood,1600.0,Borough Park,"[11204, 11218, 11219, 11230]",0.255
85,62,2015-01,MISDEMEANOR,213,Bensonhurst,Bensonhurst,BROOKLYN,neighborhood,1600.0,Borough Park,"[11204, 11218, 11219, 11230]",0.26625
86,62,2015-01,VIOLATION,62,Bensonhurst,Bensonhurst,BROOKLYN,neighborhood,1600.0,Borough Park,"[11204, 11218, 11219, 11230]",0.03875
87,66,2015-01,FELONY,149,Borough Park,Borough Park,BROOKLYN,neighborhood,1550.0,Borough Park,"[11204, 11218, 11219, 11230]",0.28838709677419355
88,66,2015-01,MISDEMEANOR,164,Borough Park,Borough Park,BROOKLYN,neighborhood,1550.0,Borough Park,"[11204, 11218, 11219, 11230]",0.21161290322580645
89,66,2015-01,VIOLATION,30,Borough Park,Borough Park,BROOKLYN,neighborhood,1550.0,Borough Park,"[11204, 11218, 11219, 11230]",0.01935483870967742
90,67,2015-01,FELONY,270,East Flatbush,East Flatbush,BROOKLYN,neighborhood,1400.0,Flatbush,"[11203, 11210, 11225, 11226]",0.5785714285714286
91,67,2015-01,MISDEMEANOR,264,East Flatbush,East Flatbush,BROOKLYN,neighborhood,1400.0,Flatbush,"[11203, 11210, 11225, 11226]",0.37714285714285717
92,67,2015-01,VIOLATION,125,East Flatbush,East Flatbush,BROOKLYN,neighborhood,1400.0,Flatbush,"[11203, 11210, 11225, 11226]",0.08928571428571429
93,68,2015-01,FELONY,95,Bay Ridge / Dyker Heights,Bay Ridge,BROOKLYN,neighborhood,1700.0,Southwest Brooklyn,"[11209, 11214, 11228]",0.1676470588235294
94,68,2015-01,MISDEMEANOR,163,Bay Ridge / Dyker Heights,Bay Ridge,BROOKLYN,neighborhood,1700.0,Southwest Brooklyn,"[11209, 11214, 11228]",0.19176470588235295
95,68,2015-01,VIOLATION,47,Bay Ridge / Dyker Heights,Bay Ridge,BROOKLYN,neighborhood,1700.0,Southwest Brooklyn,"[11209, 11214, 11228]",0.027647058823529413
96,69,2015-01,FELONY,116,Canarsie,Canarsie,BROOKLYN,neighborhood,1750.0,Canarsie and Flatlands,"[11234, 11236, 11239]",0.19885714285714284
97,69,2015-01,MISDEMEANOR,162,Canarsie,Canarsie,BROOKLYN,neighborhood,1750.0,Canarsie and Flatlands,"[11234, 11236, 11239]",0.18514285714285714
98,69,2015-01,VIOLATION,54,Canarsie,Canarsie,BROOKLYN,neighborhood,1750.0,Canarsie and Flatlands,"[11234, 11236, 11239]",0.030857142857142857
99,70,2015-01,FELONY,175,Flatbush / Ditmas Park,Flatbush,BROOKLYN,neighborhood,1700.0,Flatbush,"[11203, 11210, 11225, 11226]",0.3088235294117647
100,70,2015-01,MISDEMEANOR,261,Flatbush / Ditmas Park,Flatbush,BROOKLYN,neighborhood,1700.0,Flatbush,"[11203, 11210, 11225, 11226]",0.3070588235294118
101,70,2015-01,VIOLATION,69,Flatbush / Ditmas Park,Flatbush,BROOKLYN,neighborhood,1700.0,Flatbush,"[11203, 11210, 11225, 11226]",0.04058823529411765
102,71,2015-01,FELONY,162,Crown Heights North,Crown Heights,BROOKLYN,neighborhood,2200.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.22090909090909092
103,71,2015-01,MISDEMEANOR,296,Crown Heights North,Crown Heights,BROOKLYN,neighborhood,2200.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.2690909090909091
104,71,2015-01,VIOLATION,96,Crown Heights North,Crown Heights,BROOKLYN,neighborhood,2200.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.04363636363636364
105,72,2015-01,FELONY,133,Sunset Park / Windsor Terrace,Windsor Terrace,BROOKLYN,neighborhood,2700.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.14777777777777779
106,72,2015-01,MISDEMEANOR,211,Sunset Park / Windsor Terrace,Windsor Terrace,BROOKLYN,neighborhood,2700.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.1562962962962963
107,72,2015-01,VIOLATION,64,Sunset Park / Windsor Terrace,Windsor Terrace,BROOKLYN,neighborhood,2700.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.023703703703703703
108,73,2015-01,FELONY,220,Brownsville,Brownsville,BROOKLYN,neighborhood,1300.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.5076923076923077
109,73,2015-01,MISDEMEANOR,338,Brownsville,Brownsville,BROOKLYN,neighborhood,1300.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.52
110,73,2015-01,VIOLATION,92,Brownsville,Brownsville,BROOKLYN,neighborhood,1300.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.07076923076923076
111,75,2015-01,FELONY,374,East New York,East New York,BROOKLYN,neighborhood,1650.0,East New York and New Lots,"[11207, 11208]",0.68
112,75,2015-01,MISDEMEANOR,588,East New York,East New York,BROOKLYN,neighborhood,1650.0,East New York and New Lots,"[11207, 11208]",0.7127272727272728
113,75,2015-01,VIOLATION,148,East New York,East New York,BROOKLYN,neighborhood,1650.0,East New York and New Lots,"[11207, 11208]",0.08969696969696969
114,76,2015-01,FELONY,54,Red Hook / Carroll Gardens,Carroll Gardens,BROOKLYN,neighborhood,2900.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.05586206896551724
115,76,2015-01,MISDEMEANOR,88,Red Hook / Carroll Gardens,Carroll Gardens,BROOKLYN,neighborhood,2900.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.060689655172413794
116,76,2015-01,VIOLATION,20,Red Hook / Carroll Gardens,Carroll Gardens,BROOKLYN,neighborhood,2900.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.006896551724137931
117,77,2015-01,FELONY,172,Crown Heights South,Crown Heights,BROOKLYN,neighborhood,2200.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.23454545454545456
118,77,2015-01,MISDEMEANOR,203,Crown Heights South,Crown Heights,BROOKLYN,neighborhood,2200.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.18454545454545454
119,77,2015-01,VIOLATION,67,Crown Heights South,Crown Heights,BROOKLYN,neighborhood,2200.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.030454545454545453
120,78,2015-01,FELONY,89,Park Slope,Park Slope,BROOKLYN,neighborhood,2847.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.09378292939936776
121,78,2015-01,MISDEMEANOR,140,Park Slope,Park Slope,BROOKLYN,neighborhood,2847.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.09834913944502986
122,78,2015-01,VIOLATION,34,Park Slope,Park Slope,BROOKLYN,neighborhood,2847.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.01194239550403934
123,79,2015-01,FELONY,163,Bedford-Stuyvesant North,Bedford-Stuyvesant,BROOKLYN,neighborhood,2283.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.21419185282522996
124,79,2015-01,MISDEMEANOR,256,Bedford-Stuyvesant North,Bedford-Stuyvesant,BROOKLYN,neighborhood,2283.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.22426631625054752
125,79,2015-01,VIOLATION,64,Bedford-Stuyvesant North,Bedford-Stuyvesant,BROOKLYN,neighborhood,2283.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.02803328953131844
126,81,2015-01,FELONY,143,Bedford-Stuyvesant Central,Bedford-Stuyvesant,BROOKLYN,neighborhood,2283.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.18791064388961892
127,81,2015-01,MISDEMEANOR,200,Bedford-Stuyvesant Central,Bedford-Stuyvesant,BROOKLYN,neighborhood,2283.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.17520805957074026
128,81,2015-01,VIOLATION,72,Bedford-Stuyvesant Central,Bedford-Stuyvesant,BROOKLYN,neighborhood,2283.0,Central Brooklyn,"[11212, 11213, 11216, 11233, 11238]",0.03153745072273324
129,83,2015-01,FELONY,178,Bushwick,Bushwick,BROOKLYN,neighborhood,2400.0,Bushwick and Williamsburg,"[11206, 11221, 11237]",0.2225
130,83,2015-01,MISDEMEANOR,250,Bushwick,Bushwick,BROOKLYN,neighborhood,2400.0,Bushwick and Williamsburg,"[11206, 11221, 11237]",0.20833333333333334
131,83,2015-01,VIOLATION,55,Bushwick,Bushwick,BROOKLYN,neighborhood,2400.0,Bushwick and Williamsburg,"[11206, 11221, 11237]",0.022916666666666665
132,84,2015-01,FELONY,129,Brooklyn Heights / Downtown Brooklyn,Downtown Brooklyn,BROOKLYN,neighborhood,3181.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.12165985539138635
133,84,2015-01,MISDEMEANOR,205,Brooklyn Heights / Downtown Brooklyn,Downtown Brooklyn,BROOKLYN,neighborhood,3181.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.12889028607356176
134,84,2015-01,VIOLATION,49,Brooklyn Heights / Downtown Brooklyn,Downtown Brooklyn,BROOKLYN,neighborhood,3181.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.015403961018547626
135,88,2015-01,FELONY,91,Fort Greene / Clinton Hill,Fort Greene,BROOKLYN,neighborhood,2700.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.10111111111111111
136,88,2015-01,MISDEMEANOR,116,Fort Greene / Clinton Hill,Fort Greene,BROOKLYN,neighborhood,2700.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.08592592592592592
137,88,2015-01,VIOLATION,27,Fort Greene / Clinton Hill,Fort Greene,BROOKLYN,neighborhood,2700.0,Northwest Brooklyn,"[11201, 11205, 11215, 11217, 11231]",0.01
138,90,2015-01,FELONY,163,Williamsburg South,Williamsburg,BROOKLYN,neighborhood,3050.0,Bushwick and Williamsburg,"[11206, 11221, 11237]",0.160327868852459
139,90,2015-01,MISDEMEANOR,219,Williamsburg South,Williamsburg,BROOKLYN,neighborhood,3050.0,Bushwick and Williamsburg,"[11206, 11221, 11237]",0.1436065573770492
140,90,2015-01,VIOLATION,48,Williamsburg South,Williamsburg,BROOKLYN,neighborhood,3050.0,Bushwick and Williamsburg,"[11206, 11221, 11237]",0.015737704918032787
141,94,2015-01,FELONY,88,Greenpoint,Greenpoint,BROOKLYN,neighborhood,2500.0,Greenpoint,"[11211, 11222]",0.1056
142,94,2015-01,MISDEMEANOR,136,Greenpoint,Greenpoint,BROOKLYN,neighborhood,2500.0,Greenpoint,"[11211, 11222]",0.1088
143,94,2015-01,VIOLATION,44,Greenpoint,Greenpoint,BROOKLYN,neighborhood,2500.0,Greenpoint,"[11211, 11222]",0.0176
144,100,2015-01,FELONY,44,Rockaway Beach,Rockaway All,QUEENS,neighborhood,1530.0,Rockaways,"[11691, 11692, 11693, 11694, 11695, 11697]",0.08627450980392157
145,100,2015-01,MISDEMEANOR,84,Rockaway Beach,Rockaway All,QUEENS,neighborhood,1530.0,Rockaways,"[11691, 11692, 11693, 11694, 11695, 11697]",0.10980392156862745
146,100,2015-01,VIOLATION,29,Rockaway Beach,Rockaway All,QUEENS,neighborhood,1530.0,Rockaways,"[11691, 11692, 11693, 11694, 11695, 11697]",0.01895424836601307
147,101,2015-01,FELONY,120,Far Rockaway,Rockaway All,QUEENS,neighborhood,1530.0,Rockaways,"[11691, 11692, 11693, 11694, 11695, 11697]",0.23529411764705882
148,101,2015-01,MISDEMEANOR,150,Far Rockaway,Rockaway All,QUEENS,neighborhood,1530.0,Rockaways,"[11691, 11692, 11693, 11694, 11695, 11697]",0.19607843137254902
149,101,2015-01,VIOLATION,33,Far Rockaway,Rockaway All,QUEENS,neighborhood,1530.0,Rockaways,"[11691, 11692, 11693, 11694, 11695, 11697]",0.021568627450980392
150,102,2015-01,FELONY,167,Richmond Hill / Woodhaven,Richmond Hill,QUEENS,neighborhood,1400.0,Southwest Queens,"[11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421]",0.3578571428571429
151,102,2015-01,MISDEMEANOR,192,Richmond Hill / Woodhaven,Richmond Hill,QUEENS,neighborhood,1400.0,Southwest Queens,"[11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421]",0.2742857142857143
152,102,2015-01,VIOLATION,62,Richmond Hill / Woodhaven,Richmond Hill,QUEENS,neighborhood,1400.0,Southwest Queens,"[11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421]",0.04428571428571428
